,Year,Punxsutawney Phil,February Average Temperature,February Average Temperature (Northeast),February Average Temperature (Midwest),February Average Temperature (Pennsylvania),March Average Temperature,March Average Temperature (Northeast),March Average Temperature (Midwest),March Average Temperature (Pennsylvania)
0,1886,No Record,,,,,,,,
1,1887,Full Shadow,,,,,,,,
2,1888,Full Shadow,,,,,,,,
3,1889,No Record,,,,,,,,
4,1890,No Shadow,,,,,,,,
5,1891,No Record,,,,,,,,
6,1892,No Record,,,,,,,,
7,1893,No Record,,,,,,,,
8,1894,No Record,,,,,,,,
9,1895,No Record,26.6,15.6,21.9,17.0,39.97,27.6,40.2,31.3
10,1896,No Record,35.04,22.2,33.5,26.6,38.03,25.3,36.9,27.8
11,1897,No Record,33.39,23.6,34.7,27.9,38.79,32.0,44.0,36.9
12,1898,Full Shadow,35.37,24.8,33.3,26.7,41.05,38.0,46.0,42.0
13,1899,No Record,25.5,18.1,22.2,20.0,37.63,29.3,38.4,34.0
14,1900,Full Shadow,30.76,21.4,27.5,24.1,41.27,26.0,37.9,29.3
15,1901,Full Shadow,29.86,16.0,26.2,18.9,40.71,30.8,41.9,35.1
16,1902,No Record,31.46,20.1,23.6,21.0,41.58,37.1,43.9,38.8
17,1903,Full Shadow,28.42,24.5,31.3,28.0,42.21,40.4,47.7,44.5
18,1904,Full Shadow,31.59,15.0,28.2,19.2,41.76,29.8,42.8,34.0
19,1905,Full Shadow,26.94,15.2,22.2,18.1,45.12,31.4,47.2,36.9
20,1906,Full Shadow,33.69,22.0,30.7,25.3,36.1,25.7,33.9,29.1
21,1907,Full Shadow,35.46,15.2,31.5,20.1,45.7,33.3,50.2,39.5
22,1908,Full Shadow,33.01,18.4,31.2,22.1,43.92,32.7,47.1,38.4
23,1909,Full Shadow,35.02,26.4,37.2,32.9,40.35,29.6,41.1,33.1
24,1910,Full Shadow,29.3,20.6,28.5,23.8,49.44,37.8,51.9,42.6
25,1911,Full Shadow,33.66,21.4,37.5,28.5,44.02,28.4,42.9,32.8
26,1912,Full Shadow,31.08,18.6,25.8,21.1,35.76,27.7,35.2,31.5
